Generating SQLite file ./profiling/trt_fp32_profile_16032026_v1.sqlite from ./profiling/trt_fp32_profile_16032026_v1.nsys-rep
Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)    Style                                                   Range                                                
      0,0          255 744          3      85 248,0      80 576,0      79 360       95 808       9 165,0  PushPop   TensorRT:/model.12/Split_output_0 copy                                                              
      0,0          254 368          3      84 789,0      88 352,0      67 424       98 592      15 886,0  PushPop   TensorRT:PWN(/model.22/Sub_1)                                                                       
      0,0          254 304          3      84 768,0      72 448,0      52 320      129 536      40 055,0  PushPop   TensorRT:PWN(PWN(/model.22/cv3.1/cv3.1.0/act/Sigmoid), PWN(/model.22/cv3.1/cv3.1.0/act/Mul))        
      0,0          252 992          3      84 330,0      87 328,0      72 896       92 768      10 269,0  PushPop   TensorRT:PWN(PWN(/model.4/m.1/cv1/act/Sigmoid), PWN(/model.4/m.1/cv1/act/Mul))                      
      0,0          251 328          3      83 776,0      81 184,0      76 448       93 696       8 911,0  PushPop   TensorRT:PWN(PWN(/model.16/act/Sigmoid), PWN(/model.16/act/Mul))                                    
      0,0          249 920          3      83 306,0      74 912,0      74 304      100 704      15 069,0  PushPop   TensorRT:/model.6/Split_output_1 copy                                                               
      0,0          248 672          3      82 890,0      77 088,0      71 136      100 448      15 493,0  PushPop   TensorRT:/model.22/cv3.2/cv3.2.1/conv/Conv                                                          
      0,0          247 328          3      82 442,0      79 520,0      74 528       93 280       9 711,0  PushPop   TensorRT:/model.8/Split_output_0 copy                                                               
      0,0          244 704        189       1 294,0       1 280,0         576        2 624         349,0  StartEnd  myelin-exec:myelinTensorSetInputMemoryBatch                                                         
      0,0          244 672          3      81 557,0      76 192,0      76 160       92 320       9 320,0  PushPop   TensorRT:PWN(PWN(/model.6/cv1/act/Sigmoid), PWN(/model.6/cv1/act/Mul))                              
      0,0          244 512          3      81 504,0      72 256,0      69 664      102 592      18 308,0  PushPop   TensorRT:PWN(/model.22/Sigmoid)                                                                     
      0,0          244 256          3      81 418,0      88 096,0      65 568       90 592      13 783,0  PushPop   TensorRT:/model.4/cv2/conv/Conv                                                                     
      0,0          243 104          3      81 034,0      77 728,0      71 200       94 176      11 839,0  PushPop   TensorRT:PWN(PWN(/model.18/m.0/cv2/act/Sigmoid), PWN(/model.18/m.0/cv2/act/Mul))                    
      0,0          242 144          3      80 714,0      77 952,0      67 264       96 928      15 023,0  PushPop   TensorRT:PWN(PWN(/model.8/cv1/act/Sigmoid), PWN(/model.8/cv1/act/Mul))                              
      0,0          237 376          3      79 125,0      74 784,0      62 112      100 480      19 548,0  PushPop   TensorRT:PWN(/model.22/Mul_2)                                                                       
      0,0          235 776          3      78 592,0      71 424,0      68 864       95 488      14 688,0  PushPop   TensorRT:PWN(PWN(/model.22/cv3.2/cv3.2.1/act/Sigmoid), PWN(/model.22/cv3.2/cv3.2.1/act/Mul))        
      0,0          235 040          3      78 346,0      79 360,0      56 736       98 944      21 122,0  PushPop   TensorRT:/model.8/m.0/cv2/conv/Conv                                                                 
      0,0          233 024          3      77 674,0      69 088,0      62 240      101 696      21 083,0  PushPop   TensorRT:PWN(PWN(/model.22/cv3.1/cv3.1.1/act/Sigmoid), PWN(/model.22/cv3.1/cv3.1.1/act/Mul))        
      0,0          231 936          3      77 312,0      67 296,0      64 704       99 936      19 635,0  PushPop   TensorRT:PWN(PWN(/model.22/cv2.1/cv2.1.0/act/Sigmoid), PWN(/model.22/cv2.1/cv2.1.0/act/Mul))        
      0,0          231 744          3      77 248,0      63 424,0      61 856      106 464      25 313,0  PushPop   TensorRT:/model.9/cv2/act/Mul_output_0 copy                                                         
      0,0          231 424          3      77 141,0      63 648,0      55 328      112 448      30 858,0  PushPop   TensorRT:/model.22/cv3.0/cv3.0.1/conv/Conv                                                          
      0,0          227 904          3      75 968,0      61 728,0      57 952      108 224      27 998,0  PushPop   TensorRT:PWN(PWN(/model.22/cv3.2/cv3.2.0/act/Sigmoid), PWN(/model.22/cv3.2/cv3.2.0/act/Mul))        
      0,0          225 440          3      75 146,0      71 456,0      63 648       90 336      13 721,0  PushPop   TensorRT:/model.4/m.0/Add_output_0 copy                                                             
      0,0          224 288          3      74 762,0      62 912,0      51 232      110 144      31 192,0  PushPop   TensorRT:/model.2/cv2/conv/Conv                                                                     
      0,0          219 232          3      73 077,0      69 984,0      56 032       93 216      18 784,0  PushPop   TensorRT:/model.6/m.0/Add_output_0 copy                                                             
      0,0          218 304          3      72 768,0      79 648,0      48 480       90 176      21 682,0  PushPop   TensorRT:/model.22/cv2.1/cv2.1.1/conv/Conv                                                          
      0,0          218 144          3      72 714,0      60 576,0      52 416      105 152      28 386,0  PushPop   TensorRT:/model.6/m.0/cv2/conv/Conv                                                                 
      0,0          217 920          3      72 640,0      66 688,0      57 184       94 048      19 139,0  PushPop   TensorRT:/model.18/Split_output_1 copy                                                              
      0,0          217 216        189       1 149,0       1 120,0         608        2 944         321,0  StartEnd  myelin-exec:myelinTensorSetOutputMemoryBatch                                                        
      0,0          215 136          3      71 712,0      71 744,0      62 656       80 736       9 040,0  PushPop   TensorRT:/model.1/conv/Conv                                                                         
      0,0          209 952          3      69 984,0      62 432,0      55 936       91 584      18 986,0  PushPop   TensorRT:/model.4/m.0/cv1/conv/Conv                                                                 
      0,0          209 504          3      69 834,0      64 000,0      53 696       91 808      19 714,0  PushPop   TensorRT:/model.15/Split_output_1 copy                                                              
      0,0          208 288          3      69 429,0      59 136,0      47 936      101 216      28 091,0  PushPop   TensorRT:/model.9/m_1/MaxPool_output_0 copy                                                         
      0,0          207 936          3      69 312,0      62 816,0      56 320       88 800      17 186,0  PushPop   TensorRT:/model.22/cv2.0/cv2.0.0/conv/Conv || /model.22/cv3.0/cv3.0.0/conv/Conv                     
      0,0          206 560          3      68 853,0      60 384,0      58 880       87 296      15 989,0  PushPop   TensorRT:/model.3/conv/Conv                                                                         
      0,0          206 336          3      68 778,0      64 480,0      63 552       78 304       8 262,0  PushPop   TensorRT:PWN(PWN(/model.22/cv2.0/cv2.0.0/act/Sigmoid), PWN(/model.22/cv2.0/cv2.0.0/act/Mul))        
