Generating SQLite file ./profiling/trt_fp32_profile_16032026_v1.sqlite from ./profiling/trt_fp32_profile_16032026_v1.nsys-rep
Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)    Style                                                   Range                                                
      1,0        1 313 248         12  109 437,0  109 376,0   107 904    111 168        934,0  __myl_MovNegExpAddDivMul_0x57efa32e8c669d5a22f39c1cd4c2bf8f                                         
      1,0        1 249 216          3  416 405,0  415 552,0   415 232    418 432      1 762,0  sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nhwckrsc_nhwc_tilesize64x128x8_stage3_warpsize1x4x1…
      1,0        1 218 112          3  406 037,0  405 504,0   404 640    407 968      1 726,0  __myl_MovNegExpAddDivMul_0xad3d0ac3ab57d87910045ef6ef69128a                                         
      1,0        1 101 696          6  183 616,0  184 048,0   115 808    251 456     73 594,0  ResizeNearest2DKernel                                                                               
      1,0        1 062 720          3  354 240,0  352 896,0   352 352    357 472      2 812,0  sm80_xmma_fprop_implicit_gemm_indexed_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_war…
      1,0        1 026 848         12   85 570,0   95 072,0    51 072    101 344     20 620,0  sm80_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize64x128x16_stage4_warpsize2x2x1_tensor16x8x8_execute_…
      1,0          969 728         18   53 873,0   28 320,0     6 784    135 104     50 664,0  void genericReformat::copyVectorizedKernel<double, float, float, (bool)1, (bool)0, (int)4>(unsigned…
      1,0          961 216          6  160 202,0  160 752,0   106 240    213 824     57 231,0  void cuInt8::nchwToNhwcKernel<float>(int, int, int, int, int, int, int, int, bool, const T1 *, T1 *)
      1,0          914 432          3  304 810,0  351 776,0   209 376    353 280     82 652,0  sm80_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nchw_tilesize256x64x32_stage3_warpsize4x2…
      1,0          810 528          3  270 176,0  269 760,0   269 472    271 296        980,0  sm80_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x128x32_stage5_warpsize2x2…
      1,0          805 088         18   44 727,0   42 304,0    38 464     60 416      7 346,0  __myl_MovNegExpAddDivMul_0xdbab1afcdb0787f500b9ccb50ec6726c                                         
      1,0          803 200          6  133 866,0  127 600,0    64 800    193 664     51 402,0  sm80_xmma_fprop_wngd_f32f32_f32_f32_nchwkcrs_nchw_tilesize8x16x16x8_warpsize8x1x1_wngd2x2_execute_k…
      0,0          611 648          3  203 882,0  240 384,0   125 600    245 664     67 846,0  sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x16x8_stage3_warpsize4x1x1…
      0,0          584 160          6   97 360,0   97 152,0    96 576     98 880        879,0  sm50_xmma_pooling_nd_NCDHW_kMAX_kGENERIC_3D_POOLING_MODE_kFLOAT_0_execute_kernel_trt                
      0,0          552 832          3  184 277,0  184 064,0   183 456    185 312        946,0  sm80_xmma_gemm_f32f32_tf32f32_f32_nn_n_tilesize128x64x32_stage5_warpsize2x2x1_tensor16x8x8_execute_…
      0,0          551 520          6   91 920,0   91 728,0    75 200    108 480     17 294,0  sm86_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x128x16_stage3_warpsize2x2x1_tensor16x8x8_execute…
      0,0          539 360          3  179 786,0  214 304,0   108 576    216 480     61 679,0  sm50_xmma_softmax_trt_NCHW_FP32_Dim2_Threads256_execute2_kernel_trt                                 
      0,0          525 280          3  175 093,0  175 136,0   174 880    175 264        195,0  __myl_MovNegExpAddDivMulAdd_0x59f59910dbca8de6f94f57d6d7ae695c                                      
      0,0          501 120          9   55 680,0   12 992,0     6 592    174 080     71 352,0  void genericReformat::copyVectorizedKernel<double, float, float, (bool)1, (bool)0, (int)3>(unsigned…
      0,0          437 568          3  145 856,0  173 120,0    91 072    173 376     47 444,0  __myl_NegExpAddDiv_0x9ce6a87108b58e6846ee4da477a7fae1                                               
      0,0          418 464          3  139 488,0  138 944,0   138 720    140 800      1 141,0  __myl_MovNegExpAddDivMul_0x8f053d16a1174ec31532b0d7f6ffb862                                         
      0,0          402 688          3  134 229,0  134 304,0   133 376    135 008        818,0  __myl_MovNegExpAddDivMul_0xed743e7d6d6ef1341415b1fe489ca329                                         
      0,0          382 080         15   25 472,0   24 384,0    21 408     32 704      3 159,0  __myl_MovNegExpAddDivMul_0x6f7400225e95edb998dce5c03ac917b2                                         
      0,0          363 904          9   40 433,0   40 448,0    39 936     40 800        289,0  __myl_MovNegExpAddDivMul_0x3c8d769d9e82a56a56e1b9e0dc5ada18                                         
      0,0          339 648          3  113 216,0  113 056,0   112 416    114 176        890,0  __myl_MovNegExpAddDivMul_0xd4532d8fcc313645e54883925db102e2                                         
      0,0          332 128          3  110 709,0  110 528,0   110 304    111 296        520,0  __myl_MovNegExpAddDivMul_0x357fa3a9f3ef485cd33a23e2ab5a73e1                                         
      0,0          331 104          3  110 368,0  110 624,0   109 344    111 136        923,0  __myl_MovNegExpAddDivMul_0xd74e015cab187471e481ba157c4ba9e7                                         
      0,0          330 720          3  110 240,0  110 336,0   109 536    110 848        661,0  __myl_MovNegExpAddDivMul_0x74d9beb8f7a7fa263b8b0b7fc63a740c                                         
      0,0          307 712          3  102 570,0  102 368,0   102 080    103 264        617,0  sm50_xmma_pooling_fw_4d_FP32FP32NCHW_Max_execute_kernel_trt                                         
      0,0          293 824         12   24 485,0   24 208,0    23 680     26 016        811,0  __myl_MovNegExpAddDivMul_0x0408049fb941f23fa7536008c90e01a8                                         
      0,0          292 032          3   97 344,0   98 560,0    94 016     99 456      2 916,0  sm80_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nchwkrsc_nchw_tilesize128x32x16_stage2_warpsize2x2…
      0,0          251 904          9   27 989,0   24 288,0    23 488     36 064      5 912,0  __myl_MovNegExpAddDivMul_0x29f333e49e977ceaa4b0ab7dfbc84bbf                                         
      0,0          210 976          3   70 325,0   70 048,0    69 888     71 040        624,0  __myl_MovNegExpAddDivMulAdd_0x6182fa9c2805d1d1d5b453bab7c81e31                                      
      0,0          206 624          3   68 874,0   69 088,0    68 416     69 120        397,0  __myl_MovNegExpAddDivMulAdd_0x0ee831315542c92fa24fd2e2eb45dd36                                      
      0,0          157 728          3   52 576,0   62 176,0    32 672     62 880     17 241,0  sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize64x128x8_stage3_warpsize1x4x1…
      0,0          142 688          9   15 854,0   15 520,0    13 664     17 696      1 228,0  __myl_MovNegExpAddDivMul_0xf814d745c18a39ce29376f35030dd3ef                                         
      0,0          127 488          3   42 496,0   41 920,0    41 792     43 776      1 110,0  __myl_MovNegExpAddDivMul_0xfb9788e4eb00f49d1fafa6e89027c79e                                         
      0,0          124 352          6   20 725,0   21 152,0    15 136     25 120      4 663,0  __myl_MovNegExpAddDivMul_0xa5f5c0f9713e02f3f53544638f8434a7                                         
      0,0          120 704          3   40 234,0   40 128,0    40 000     40 576        302,0  __myl_MovNegExpAddDivMul_0x7ca7b8aec426ac866851299492f16416                                         
      0,0          115 328          3   38 442,0   38 240,0    38 176     38 912        407,0  __myl_MovNegExpAddDivMul_0x9c413021c022f542b21a7b268b29bf5e                                         
      0,0          110 848          3   36 949,0   41 728,0    27 328     41 792      8 332,0  __myl_MovNegExpAddDivMul_0x00acab90daa782d6bfa59749ab6b77de                                         
      0,0           90 272          3   30 090,0   33 056,0    24 064     33 152      5 219,0  __myl_MovNegExpAddDivMul_0x91a8329de8435dce79e779a963eeb5fb                                         
      0,0           90 208          3   30 069,0   29 952,0    29 920     30 336        231,0  __myl_MovNegExpAddDivMul_0xf1c2a73c192f6fef06746eb7d5e66d1d                                         
      0,0           84 448          3   28 149,0   27 968,0    27 904     28 576        370,0  __myl_MovNegExpAddDivMulAdd_0x2e8c9d283af2dd1304ce167155407256                                      
      0,0           78 048          3   26 016,0   26 336,0    25 152     26 560        756,0  __myl_MovNegExpAddDivMulAdd_0xd5c9425b1943070839ec0f132b05536b                                      
      0,0           72 736          3   24 245,0   24 384,0    23 808     24 544        387,0  __myl_MovNegExpAddDivMul_0x7cf19902f6b92c55f0fb73d3d2bf6eae                                         
      0,0           62 144          3   20 714,0   19 104,0    18 848     24 192      3 014,0  void cuInt8::nhwcToNchwKernel<float>(int, int, int, int, int, int, int, int, const T1 *, T1 *)      
      0,0           56 352          3   18 784,0   18 752,0    18 720     18 880         84,0  __myl_MovNegExpAddDivMulAdd_0x504c6b7e197731959a15affd32686056                                      
      0,0           43 360          3   14 453,0   16 736,0     9 760     16 864      4 065,0  __myl_Mul_0x50ad9a0d9a6dd0d091f672649fcd709e                                                        
      0,0           42 912          3   14 304,0   16 704,0     8 608     17 600      4 953,0  __myl_MovNegExpAddDivMul_0xd3c8705ec31fe5423e97a9e330eb4b37                                         
      0,0           42 656          3   14 218,0   15 904,0    10 240     16 512      3 459,0  __myl_Sub_0x6e0be556ffaf39ca365564d2a037f25b                                                        
      0,0           38 464          3   12 821,0   15 168,0     7 936     15 360      4 231,0  __myl_MovNegExpAddDivMul_0x9d9c69d0ccd18aa2d0210154724dd9b4                                         
      0,0           36 768          3   12 256,0   14 368,0     7 872     14 528      3 797,0  __myl_MovNegExpAddDivMul_0x884ca8a5119ba1ab0ea17e12c19b61d0                                         
      0,0           35 904          3   11 968,0   14 240,0     7 392     14 272      3 963,0  __myl_MovNegExpAddDivMul_0x4c1e29308cb438699d1cc85692da60a9                                         
      0,0           35 328          3   11 776,0   13 408,0     7 552     14 368      3 689,0  __myl_Add_0xa6098109389458fbf89bd2b9cfd3c1b4                                                        
      0,0           30 976          3   10 325,0   11 808,0     6 656     12 512      3 197,0  __myl_Sub_0x2482330a83a77c9e075d9c27fdc2007e                                                        
      0,0           30 464          3   10 154,0   11 616,0     6 752     12 096      2 956,0  __myl_AddDiv_0xf965abea6431fdeef88477039d353d37                                                     

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/cuda_gpu_mem_time_sum.py]... 

 ** CUDA GPU MemOps Summary (by Time) (cuda_gpu_mem_time_sum):

 Time (%)  Total Time (ns)  Count   Avg (ns)    Med (ns)   Min (ns)  Max (ns)   StdDev (ns)            Operation           
 --------  ---------------  -----  -----------  ---------  --------  ---------  -----------  ------------------------------
     54,0        4 635 744      4  1 158 936,0  855 152,0   813 280  2 112 160    636 155,0  [CUDA memcpy Host-to-Device]  
     35,0        2 960 768      3    986 922,0  595 584,0   430 976  1 934 208    824 491,0  [CUDA memcpy Device-to-Host]  
      8,0          679 040      9     75 448,0    3 328,0     1 536    656 064    217 732,0  [CUDA memset]                 
      1,0          162 976      9     18 108,0   18 144,0    17 632     18 688        344,0  [CUDA memcpy Device-to-Device]

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/cuda_gpu_mem_size_sum.py]... 

 ** CUDA GPU MemOps Summary (by Size) (cuda_gpu_mem_size_sum):

 Total (MB)  Count  Avg (MB)  Med (MB)  Min (MB)  Max (MB)  StdDev (MB)            Operation           
 ----------  -----  --------  --------  --------  --------  -----------  ------------------------------
 27,767          4  6,942     4,915     4,915     13,021    4,053        [CUDA memcpy Host-to-Device]  
 18,972          9  2,108     0,004     0,002     18,944    6,314        [CUDA memset]                 
 8,467           3  2,822     2,822     2,822     2,822     0,000        [CUDA memcpy Device-to-Host]  
 1,843           9  0,205     0,205     0,205     0,205     0,000        [CUDA memcpy Device-to-Device]

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/openmp_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain OpenMP event data.

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/opengl_khr_range_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain KHR Extension (KHR_DEBUG) data.

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/opengl_khr_gpu_range_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain GPU KHR Extension (KHR_DEBUG) data.

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/vulkan_marker_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain Vulkan Debug Extension (Vulkan Debug Util) data.

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/vulkan_gpu_marker_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain GPU Vulkan Debug Extension (GPU Vulkan Debug markers) data.

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/dx11_pix_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain DX11 CPU debug markers.

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/dx12_gpu_marker_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain DX12 GPU debug markers.

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/dx12_pix_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain DX12 CPU debug markers.

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/wddm_queue_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain WDDM context data.

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/um_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain CUDA Unified Memory CPU page faults data.

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/um_total_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain CUDA Unified Memory CPU page faults data.

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/um_cpu_page_faults_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain CUDA Unified Memory CPU page faults data.

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/openacc_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain OpenACC event data.

Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/syscall_sum.py]... 
SKIPPED: ./profiling/trt_fp32_profile_16032026_v1.sqlite does not contain syscall data.

