epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2442.82,0.86193,0.40709,0.97093,0.95416,0.90756,0.9539,0.71453,0.97188,0.40806,1.08833,0.0003269,0.0003269,0.0003269
66,2480.73,0.85255,0.40254,0.97431,0.96652,0.89525,0.96226,0.73002,0.94131,0.43022,1.07209,0.000311385,0.000311385,0.000311385
67,2518.41,0.85525,0.40755,0.97173,0.89708,0.958,0.95476,0.73318,0.93607,0.40935,1.07182,0.000296117,0.000296117,0.000296117
68,2556.27,0.84586,0.40053,0.96517,0.91236,0.93164,0.95471,0.73209,0.94191,0.40057,1.06825,0.00028111,0.00028111,0.00028111
69,2594.25,0.84545,0.39965,0.9683,0.92238,0.87168,0.93875,0.71865,0.9126,0.49391,1.05178,0.00026638,0.00026638,0.00026638
70,2631.51,0.84999,0.40014,0.96391,0.96337,0.89515,0.96018,0.73086,0.93611,0.4055,1.07343,0.00025194,0.00025194,0.00025194
71,2669.08,0.84576,0.39202,0.96162,0.91646,0.94654,0.94988,0.72108,0.93344,0.39903,1.07584,0.000237805,0.000237805,0.000237805
72,2706.83,0.84069,0.38963,0.96218,0.89327,0.94028,0.94407,0.71178,0.93795,0.45213,1.0712,0.00022399,0.00022399,0.00022399
73,2744.61,0.84139,0.39142,0.96021,0.94635,0.89406,0.95402,0.71894,0.93791,0.43661,1.07558,0.000210507,0.000210507,0.000210507
74,2782.26,0.84334,0.38745,0.96308,0.90622,0.94912,0.95055,0.72468,0.91813,0.4118,1.06563,0.00019737,0.00019737,0.00019737
75,2819.93,0.82702,0.38349,0.96105,0.91061,0.95925,0.95837,0.72313,0.93849,0.40332,1.07906,0.000184592,0.000184592,0.000184592
76,2857.43,0.82563,0.38272,0.96026,0.91525,0.95132,0.95894,0.7302,0.92829,0.40071,1.07922,0.000172185,0.000172185,0.000172185
