raw_target,target_norm,status,error,block_targets,c2f_hidden_targets,c2f_bn_cv1_targets,c2f_bn_cv2_targets,sppf_hidden_targets,changed_paths,base_params,pruned_params_preft,postft_params,base_mb,saved_mb_preft,saved_mb_postft,base_map50_95,preft_map50_95,postft_map50_95,base_map50,preft_map50,postft_map50,base_lat_ms,preft_lat_ms,postft_lat_ms,base_fps,preft_fps,postft_fps,train_box_loss_last,train_cls_loss_last,train_dfl_loss_last,run_dir
model.6.m.1.cv1.conv,model.6.m.1.cv1,ok_preft_only,,,,6.1,,,model.6.m.1.cv1,3157200,3150276,3150276,12.04376220703125,0.0264129638671875,0.0264129638671875,0.3714722735825037,0.3682591139699086,0.3682591139699086,0.5211115330751224,0.5180229387975884,0.5180229387975884,1.642599312029779,1.55935222893022,1.55935222893022,608.7911961708351,641.2919297175349,641.2919297175349,,,,
model.6.m.1.cv2.conv,model.6.m.1.cv2,ok_preft_only,,,,,6.1,,model.6.m.1.cv2,3157200,3152964,3152964,12.04376220703125,0.0161590576171875,0.0161590576171875,0.3714722735825037,0.25067017402810915,0.25067017402810915,0.5211115330751224,0.3613338801138368,0.3613338801138368,1.642599312029779,1.544411383708939,1.544411383708939,608.7911961708351,647.4958748351603,647.4958748351603,,,,
model.7.conv,model.7,ok_preft_only,,7,,,,,model.7,3157200,3120540,3120540,12.04376220703125,0.1398468017578125,0.1398468017578125,0.3714722735825037,0.3649304141715208,0.3649304141715208,0.5211115330751224,0.5164578236605507,0.5164578236605507,1.642599312029779,1.5375715620815755,1.5375715620815755,608.7911961708351,650.3762326653549,650.3762326653549,,,,
model.8.cv1.conv,model.8.cv1,ok_preft_only,,,8,,,,model.8.cv1,3157200,3083594,3083594,12.04376220703125,0.28078460693359375,0.28078460693359375,0.3714722735825037,0.32095898657740163,0.32095898657740163,0.5211115330751224,0.45766237347046596,0.45766237347046596,1.642599312029779,1.593484717886895,1.593484717886895,608.7911961708351,627.5554379499106,627.5554379499106,,,,
model.8.cv2.conv,model.8.cv2,ok_preft_only,,8,,,,,model.8,3157200,3143836,3143836,12.04376220703125,0.0509796142578125,0.0509796142578125,0.3714722735825037,0.3668516829941245,0.3668516829941245,0.5211115330751224,0.5155364967738659,0.5155364967738659,1.642599312029779,1.5361891331151127,1.5361891331151127,608.7911961708351,650.9615114723416,650.9615114723416,,,,
model.8.m.0.cv1.conv,model.8.m.0.cv1,ok_preft_only,,,,8.0,,,model.8.m.0.cv1,3157200,3127222,3127222,12.04376220703125,0.11435699462890625,0.11435699462890625,0.3714722735825037,0.30637336333039433,0.30637336333039433,0.5211115330751224,0.4533563686012284,0.4533563686012284,1.642599312029779,1.57502839458175,1.57502839458175,608.7911961708351,634.9091885835816,634.9091885835816,,,,
model.8.m.0.cv2.conv,model.8.m.0.cv2,ok_preft_only,,,,,8.0,,model.8.m.0.cv2,3157200,3138870,3138870,12.04376220703125,0.06992340087890625,0.06992340087890625,0.3714722735825037,0.3619454045528907,0.3619454045528907,0.5211115330751224,0.5104419238629683,0.5104419238629683,1.642599312029779,1.5512140645179897,1.5512140645179897,608.7911961708351,644.6563519978985,644.6563519978985,,,,
model.9.cv1.conv,model.9.cv1,ok_preft_only,,,,,,9,model.9.cv1,3157200,3140534,3140534,12.04376220703125,0.06357574462890625,0.06357574462890625,0.3714722735825037,0.3016567363118655,0.3016567363118655,0.5211115330751224,0.44346014884703555,0.44346014884703555,1.642599312029779,1.587998864473775,1.587998864473775,608.7911961708351,629.7233722086925,629.7233722086925,,,,
model.9.cv2.conv,model.9.cv2,ok_preft_only,,9,,,,,model.9,3157200,3133852,3133852,12.04376220703125,0.0890655517578125,0.0890655517578125,0.3714722735825037,0.3632172235897249,0.3632172235897249,0.5211115330751224,0.5096720131760899,0.5096720131760899,1.642599312029779,1.5574768969323487,1.5574768969323487,608.7911961708351,642.0640986518829,642.0640986518829,,,,
model.12.cv1.conv,model.12.cv1,ok_preft_only,,,12,,,,model.12.cv1,3157200,3137064,3137064,12.04376220703125,0.076812744140625,0.076812744140625,0.3714722735825037,0.3552719415964261,0.3552719415964261,0.5211115330751224,0.5015903527273048,0.5015903527273048,1.642599312029779,1.5311225254554302,1.5311225254554302,608.7911961708351,653.1155955024249,653.1155955024249,,,,
