name,type,params_total_b,params_weight_b,params_bias_b,in_act_b,out_act_b,flops,out_shapes
model.15.cv2.conv,Conv2d,24576,24576,0,2457600,1638400,78643200,"(1, 64, 80, 80) float32"
model.15.cv2.bn,BatchNorm2d,512,256,256,1638400,1638400,0,"(1, 64, 80, 80) float32"
model.0.act,SiLU,0,0,0,1638400,1638400,0,"(1, 64, 80, 80) float32"
model.16.conv,Conv2d,147456,147456,0,1638400,409600,117964800,"(1, 64, 40, 40) float32"
model.16.bn,BatchNorm2d,512,256,256,409600,409600,0,"(1, 64, 40, 40) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 64, 40, 40) float32"
model.17,Concat,0,0,0,1228800,1228800,0,"(1, 192, 40, 40) float32"
model.18.cv1.conv,Conv2d,98304,98304,0,1228800,819200,78643200,"(1, 128, 40, 40) float32"
model.18.cv1.bn,BatchNorm2d,1024,512,512,819200,819200,0,"(1, 128, 40, 40) float32"
model.0.act,SiLU,0,0,0,819200,819200,0,"(1, 128, 40, 40) float32"
model.18.m.0.cv1.conv,Conv2d,147456,147456,0,409600,409600,117964800,"(1, 64, 40, 40) float32"
model.18.m.0.cv1.bn,BatchNorm2d,512,256,256,409600,409600,0,"(1, 64, 40, 40) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 64, 40, 40) float32"
model.18.m.0.cv2.conv,Conv2d,147456,147456,0,409600,409600,117964800,"(1, 64, 40, 40) float32"
model.18.m.0.cv2.bn,BatchNorm2d,512,256,256,409600,409600,0,"(1, 64, 40, 40) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 64, 40, 40) float32"
model.18.cv2.conv,Conv2d,98304,98304,0,1228800,819200,78643200,"(1, 128, 40, 40) float32"
model.18.cv2.bn,BatchNorm2d,1024,512,512,819200,819200,0,"(1, 128, 40, 40) float32"
model.0.act,SiLU,0,0,0,819200,819200,0,"(1, 128, 40, 40) float32"
model.19.conv,Conv2d,589824,589824,0,819200,204800,117964800,"(1, 128, 20, 20) float32"
model.19.bn,BatchNorm2d,1024,512,512,204800,204800,0,"(1, 128, 20, 20) float32"
model.0.act,SiLU,0,0,0,204800,204800,0,"(1, 128, 20, 20) float32"
model.20,Concat,0,0,0,614400,614400,0,"(1, 384, 20, 20) float32"
model.21.cv1.conv,Conv2d,393216,393216,0,614400,409600,78643200,"(1, 256, 20, 20) float32"
model.21.cv1.bn,BatchNorm2d,2048,1024,1024,409600,409600,0,"(1, 256, 20, 20) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 256, 20, 20) float32"
model.21.m.0.cv1.conv,Conv2d,589824,589824,0,204800,204800,117964800,"(1, 128, 20, 20) float32"
model.21.m.0.cv1.bn,BatchNorm2d,1024,512,512,204800,204800,0,"(1, 128, 20, 20) float32"
model.0.act,SiLU,0,0,0,204800,204800,0,"(1, 128, 20, 20) float32"
model.21.m.0.cv2.conv,Conv2d,589824,589824,0,204800,204800,117964800,"(1, 128, 20, 20) float32"
model.21.m.0.cv2.bn,BatchNorm2d,1024,512,512,204800,204800,0,"(1, 128, 20, 20) float32"
model.0.act,SiLU,0,0,0,204800,204800,0,"(1, 128, 20, 20) float32"
model.21.cv2.conv,Conv2d,393216,393216,0,614400,409600,78643200,"(1, 256, 20, 20) float32"
model.21.cv2.bn,BatchNorm2d,2048,1024,1024,409600,409600,0,"(1, 256, 20, 20) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 256, 20, 20) float32"
model.22.cv2.0.0.conv,Conv2d,147456,147456,0,1638400,1638400,471859200,"(1, 64, 80, 80) float32"
model.22.cv2.0.0.bn,BatchNorm2d,512,256,256,1638400,1638400,0,"(1, 64, 80, 80) float32"
model.0.act,SiLU,0,0,0,1638400,1638400,0,"(1, 64, 80, 80) float32"
model.22.cv2.0.1.conv,Conv2d,147456,147456,0,1638400,1638400,471859200,"(1, 64, 80, 80) float32"
model.22.cv2.0.1.bn,BatchNorm2d,512,256,256,1638400,1638400,0,"(1, 64, 80, 80) float32"
model.0.act,SiLU,0,0,0,1638400,1638400,0,"(1, 64, 80, 80) float32"
model.22.cv2.0.2,Conv2d,16640,16384,256,1638400,1638400,52428800,"(1, 64, 80, 80) float32"
model.22.cv2.1.0.conv,Conv2d,294912,294912,0,819200,409600,235929600,"(1, 64, 40, 40) float32"
model.22.cv2.1.0.bn,BatchNorm2d,512,256,256,409600,409600,0,"(1, 64, 40, 40) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 64, 40, 40) float32"
model.22.cv2.1.1.conv,Conv2d,147456,147456,0,409600,409600,117964800,"(1, 64, 40, 40) float32"
model.22.cv2.1.1.bn,BatchNorm2d,512,256,256,409600,409600,0,"(1, 64, 40, 40) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 64, 40, 40) float32"
model.22.cv2.1.2,Conv2d,16640,16384,256,409600,409600,13107200,"(1, 64, 40, 40) float32"
